,S,C,I,R,D
47,7643122.478131586,37348305.20329714,6848.51907764071,1723.7994936200648,0.0
48,7430217.855194156,37560740.660518214,7173.865893362246,1867.6183942505197,0.0
49,7231991.768620381,37758488.98291662,7500.978884966081,2018.269578011127,0.0
50,7047431.479800563,37942563.04969067,7829.680374152768,2175.7901345954147,0.0
51,6875594.0926742675,38113905.86009047,8159.833812790906,2340.2134224526226,0.0
52,6715601.736205999,38273395.35281564,8491.34104582024,2511.5699325212317,0.0
53,6566637.079418047,38421848.8929907,8824.139496747102,2689.888094483457,0.0
54,6427939.155974319,38560027.449663684,9158.199338060018,2875.195023915146,0.0
55,6298799.4769064,38688639.48518645,9493.52069711777,3067.5172100144064,0.0
56,6178558.41155948,38808344.57635834,9830.130937507041,3266.8811446538793,0.0
57,6066601.81821855,38919756.78584052,10168.082046571013,3473.3138943415274,0.0
58,5962357.907161717,39023447.801069185,10507.448151757788,3686.8436173195187,0.0
59,5865294.320084174,39119949.856705725,10848.323181571752,3907.500028506432,0.0
60,5774915.410949505,39209758.455554,11190.818681149354,4135.314815319439,0.0
61,5690759.714360634,39293334.90184399,11535.06178772483,4370.322007623576,0.0
62,5612397.58850597,39371108.65982144,11881.19336739472,4612.558305165797,0.0
63,5539429.0206325045,39443479.54969006,12229.366311524946,4862.063365881086,0.0
64,5471481.583831336,39510819.79212145,12579.74398876545,5118.880058423109,0.0
65,5408208.534696799,39573475.911774136,12932.49884684583,5383.054682187184,0.0
66,5349287.042142049,39631770.50954292,13287.811157029175,5654.637157970947,0.0
67,5294416.538325557,39686003.912588924,13645.86789321749,5933.681192268559,0.0
68,5243317.183267797,39736455.71057698,14006.86173715694,6220.244418026126,0.0
69,5195728.435318991,39783386.185965545,14370.990200919512,6514.388514506422,0.0
70,5151407.720179888,39827037.64565357,14738.45485778379,6816.179308725732,0.0
71,5110129.191681328,39867635.660785146,15109.460672753103,7125.686860739192,0.0
72,5071682.577997014,39905390.22104389,15484.21542419374,7442.985534867007,0.0
73,5035872.107400376,39940496.8093324,15862.929208415477,7768.154058775076,0.0
74,5002515.508082495,39973137.4023259,16245.81401942297,8101.275572151801,0.0
75,4971443.076926159,40003481.40201073,16633.083396517104,8442.437666559683,0.0
76,4942496.812483101,40031686.502966076,17024.95213290137,8791.732417886542,0.0
77,4915529.607729087,40057899.499819264,17421.636038935474,9149.25641267747,0.0
78,4890404.4984765705,40082257.03899973,17823.351754164945,9515.110769495115,0.0
79,4866993.963608616,40104886.318632275,18230.316602733077,9889.401156332578,0.0
80,4845179.27356214,40125905.74014558,18642.748487243312,10272.237804989973,0.0
