S,E,I,R,D
0.9998772830976842,3.4302294648178494e-05,4.7607461858187735e-05,4.046584299241358e-05,3.4130281715823573e-07
0.9998534822879696,4.0951957038721894e-05,5.683712425792336e-05,4.8321074199014554e-05,4.0755653491088034e-07
0.9998250678898921,4.8890376596817236e-05,6.785587894346801e-05,5.769919970157191e-05,4.866548661698237e-07
0.9997911458860613,5.836719212918428e-05,8.101041445134142e-05,6.889541972724413e-05,5.810876310328167e-07
0.9997506491398607,6.968034226530396e-05,9.671455263801746e-05,8.226213811171546e-05,6.938271244776001e-07
0.9997023039247338,8.318538625947468e-05,0.00011546222816630865,9.822003929698834e-05,8.284215435655078e-07
0.9996445900048915,9.930661297209288e-05,0.00013784296871440695,0.00011727130694442927,9.891064777636206e-07
0.9995756930351113,0.0001185502762662414,0.00016456035389778202,0.00014001539678230643,1.180937942557837e-06
0.9994934478167524,0.00014152035649198948,0.00019645402047859428,0.00016716785517544047,1.4099511017322503e-06
0.999395270676456,0.00016893731854244305,0.00023452588683378826,0.00019958276855440852,1.6833496135649607e-06
0.9992780789189412,0.00020166041678601712,0.00027997139291825767,0.0002382795398819836,2.0097314727419825e-06
0.9991381949442663,0.0002407141830679292,0.0003342166946246091,0.0002844748197134961,2.3993583278865576e-06
0.998971232219184,0.0002873198166161599,0.0003989629133121606,0.0003396205743265566,2.8644765612391384e-06
0.9987719598782034,0.00034293224928868334,0.00047623871753604136,0.00040544945502306307,3.4196999489318954e-06
0.9985341423788143,0.00040928362403344827,0.0005684626882383652,0.00048402884341650987,4.082465497502886e-06
0.998250350544038,0.0004884336467930067,0.0006785170461212941,0.0005778251869758401,4.873576071967944e-06
0.9979117409824676,0.0005828263849668564,0.0008098342873519317,0.0006897804995858537,5.817845627820078e-06
0.9975078034690051,0.0006953507059458378,0.0009664978030390597,0.0008234031569989224,6.944865011051516e-06
0.9970260832533765,0.0008293955686015514,0.0011533559757346376,0.0009828752945003673,8.289907786947541e-06
0.996451904221271,0.0009888768164063567,0.0013761449369729672,0.0011731790304965824,9.894994853178245e-06
0.9957681651910526,0.001178177438421506,0.0016416042955383185,0.001400242945097122,1.1810129890465625e-05
0.994955391022499,0.0014018628877643354,0.0019575437400072915,0.0016711076538609446,1.4094695868423118e-05
0.9939924668804219,0.0016638555859593116,0.0023327562184167457,0.0019941023709621475,1.6818944239933266e-05
0.9928589948405039,0.0019653998328976866,0.0027765328162870084,0.0023790071470009104,2.0065363310563236e-05
0.9915410778530603,0.0023006169038923847,0.0032972408098791628,0.0028371350616882667,2.392937147989599e-05
0.9900430261995827,0.0026483601054238535,0.0038989158680682117,0.0033811797953183283,2.8518031606977825e-05
0.9884050440384818,0.0029621622138128376,0.004574348811299155,0.0040245009135495835,3.394402285670608e-05
0.9867152654784579,0.0031708596669303567,0.005294296395578822,0.004779268467413944,4.0309991619097405e-05
0.9850890955514341,0.003211599760488966,0.0059987994279563145,0.005652827372684449,4.767788743627793e-05
0.983611166299697,0.003083729131981571,0.0066064490733841,0.006642629278297241,5.60262166401838e-05
0.9822956557610352,0.0028573751046526838,0.00704905556730605,0.007732693375405617,6.522019160064334e-05
0.9811039159506587,0.0026204273627028346,0.007304839015362392,0.008895787544011114,7.503012726514426e-05
0.9799830650484815,0.002431064583528599,0.007399588358215969,0.01010108598154591,8.519602822819025e-05
0.9788887558112443,0.002309841529001473,0.00738389081040945,0.011322018060651544,9.549378869337415e-05
0.9777915074140983,0.0022521691616467715,0.0073101936764814746,0.012540360044369103,0.0001057697034045273
0.9766758723496278,0.002241719645293858,0.00721992294781898,0.013746542000988547,0.00011594305627096401
0.9755372980647756,0.002259434107499113,0.007139447757973396,0.014937829287378678,0.00012599078237334542
0.9743783214893945,0.0022886936291306504,0.0070812202001941625,0.016115838167444288,0.00013592651383652506
0.973204934010258,0.002317734293701879,0.007047310983615513,0.017284239500476323,0.00014578121194846192
0.9720237489134039,0.0023400522437049933,0.007033564310384362,0.018447045812772882,0.0001555887197339935
0.970840262876403,0.0023535121588534446,0.0070332639440248215,0.019607583923986302,0.00016537709673261175
0.9696581362590707,0.00235888269675898,0.007039743513698681,0.020768072474750397,0.00017516505572137963
0.9684792054311995,0.0023583721762507337,0.007047830205927991,0.02192963015451068,0.00018496203211127696
0.967303896468843,0.0023544950504818373,0.007054316079705323,0.023092522138488798,0.00019477026248119342
0.9661317662379552,0.0023493777561287366,0.007057784195250607,0.024256484291640176,0.00020458751902545
0.9649619919849088,0.0023444631311106672,0.007058116598093567,0.025421018683856527,0.00021440960203050708
0.9637937236318165,0.0023404999186477085,0.007055936379364449,0.026585607922541967,0.00022423214762952063
0.9626262829517128,0.0023376906394275317,0.007052137324631887,0.027749837425137102,0.00023405165909080284
0.9614592350572205,0.002335893214206018,0.007047565761337946,0.028913440083701364,0.00024386588353424887
0.9602923742275172,0.0023348074368063137,0.007042856155468999,0.030076288434322127,0.00025367374588544417
0.9591256658570182,0.0023341120889022017,0.0070383873000700765,0.031238359699974513,0.00026347505403513855
0.9579591770482695,0.0023335448531998236,0.007034314351017017,0.03239969360448607,0.0002732701430277361
0.9567930161948,0.0023329332800694335,0.007030635488893956,0.03356035547240388,0.00028305956383290143
0.9556272907576661,0.0023321920771686025,0.007027262972205793,0.03472041032807138,0.0002928438648882789
0.9544620842945407,0.0023313025017096404,0.007024081012739819,0.035879908718485336,0.0003026234725245986
0.9532974490918472,0.002330286453548345,0.007020983717083174,0.03703888208558741,0.0003123986519339949
0.9521334089692692,0.0023291833493521152,0.007017893761532349,0.03819734439890613,0.000322169520940269
0.9509699670452119,0.0023280335987333873,0.007014766396737437,0.03935529686955897,0.0003319360897584015
0.9498071145191636,0.0023268693254150357,0.007011584524073661,0.04051273332502065,0.00034169830632719444
0.9486448380883137,0.0023257110935574112,0.007008349951846356,0.041669644771492806,0.0003514560947898636
0.9474831249937211,0.002324568641371296,0.007005074469554093,0.04282602251354745,0.0003612093818061831
0.9463219656655675,0.0023234436488392338,0.007001772774126519,0.04398185980102388,0.0003709581104429792
0.9451613544764251,0.0023223330135619647,0.006998457957037935,0.04513715230875475,0.0003807022442203053
0.9440012892947971,0.002321231688408979,0.0069951393802507806,0.04629189787166601,0.00039044176487718307
0.9428417704797658,0.002320134659235745,0.006991822324409708,0.04744609586940739,0.0004001766671813654
0.9416827997892061,0.0023190380201775426,0.006988508684431843,0.04859974655293499,0.00040990695324950226
0.940524379478666,0.0023179393206288895,0.006985198087003526,0.049752850485866244,0.0004196326278353366
0.9393665117007227,0.0023168374382577014,0.006981888995624643,0.05090540817022183,0.00042935369517308315
0.9382091981992706,0.002315732220580997,0.00697857956828985,0.052057419854499895,0.0004390701573586608
0.9370524402314312,0.002314624078129942,0.006975268193246653,0.05320888548326772,0.0004487820139245308
0.9358962386307584,0.0023135136397377416,0.006971953732190325,0.05435980473515342,0.0004584892621601324
